id;autorite_contractante_libelle;autorite_contractante_initiale;autorite_contractante_responsable;autorite_contractante_adress_mail;autorite_contractante_site_web;autorite_contractante_adresse;autorite_contractante_telephone;autorite_contractante_fax;autorite_contractante_description
1;volt JSON Bedfordshire;tchèque pistache;Bedfordshire;a generate;Lettonie Pantalon HTTP;Roupie hors;drelin Prêt;retrait Homme;Hyundai
2;Calais;BMW de c;b Michaudine;Prêt;c blanc b;indigo Metz;hertz c digital;synthesizing;Draisienne
3;a bypass;Raffiné;DRAM Lead;Jouets;Montmorency farad Agent;ha;Artisanal Maison;du FTM;overriding facere a
4;Electronique overriding;rouge;régler Aquitaine Molière;Vélo;c;transmitter Polygender b;SAS Sierra Jaguar;administration COM que;manière Nord Petit
5;Plein workforce dépôt;Savoureux bœuf;incremental Vélocipèdraisiavaporianna Ghana;Carte Other;Bronze autour;copy;RAM Ouest Femme;Quai Femme;woman platforms Béziers
6;aliquid Cannes;Assistant Course Bitcoin;Diesel;compactes Directeur;c Femme;Platinum robust Essence;hertz;foreground;gai Rennes maximized
7;vroum ampere;magnetic Gants paiement;quaerat d’autant;suscipit Élégant Perpignan;revolutionary redundant;Pantalon Électronique;Avon;fourbe;magni Est
8;Aquitaine Luxembourg;Antibes Doux transmitting;caramel Chevrolet Fait;quelque basané;Mini;extensible;Rap;Automobile Citadines;en Analyste
9;Gants;Femme Bois;hi à monétaire;override;users;géométrique intelligence Iodine;Sud vite Bois;bœuf;Bedfordshire Lorraine
10;primary man;Account Sud russe;rectorat souffrir Saucisses;woman;b pschitt;Berlines céder Est;paiement;parse premièrement;caramel miaou Zinc
