id;name;description;id_keycloak
1;hack Manager vertical;Champagne-Ardenne;Hryvnia
2;Focused;actuating programming;real-time
3;Movies Home infrastructures;a;Face withdrawal
4;orchid c;New;AGP
5;Pologne;Fish local gold;concept
6;Sports index Innovative;Borders Streamlined reboot;Tuna Persevering
7;concept deposit;communities Auto transmit;Berkshire
8;Saussaies Borders;Dollar port;Metal end-to-end Fantastic
9;neural invoice collaborative;panel Honduras blue;driver Steel
10;b copy;Open-architected Developpeur;exuding white
